file,line,original_excerpt,replacement,confidence
_docs/_partners/data_and_analytics/customer_data_platform/adobe/event_forwarding_extension.md,115,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/adobe/event_forwarding_extension.md,150,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/adobe/event_forwarding_extension.md,183,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/adobe/event_forwarding_extension.md,191,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/zeotap/zeotap.md,48,will appear,appears,rerun
_docs/_partners/data_and_analytics/customer_data_platform/zeotap/zeotap.md,52,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/rudderstack/rudderstack_for_currents.md,32,will provide,provides,rerun
_docs/_partners/data_and_analytics/customer_data_platform/rudderstack/rudderstack_for_currents.md,32,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/rudderstack/rudderstack.md,45,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/rudderstack/rudderstack.md,72,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/treasure_data/treasure_data_for_currents.md,41,will provide,provides,rerun
_docs/_partners/data_and_analytics/customer_data_platform/treasure_data/treasure_data_for_currents.md,50,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/treasure_data/treasure_data_for_currents.md,50,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents.md,32,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents.md,34,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents.md,34,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents.md,42,You will,You,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents.md,46,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents.md,50,will provide,provides,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents.md,59,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents.md,59,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle.md,61,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle.md,73,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle.md,84,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle.md,88,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle.md,92,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle.md,96,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle.md,113,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle.md,134,will update,updates,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle.md,151,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle.md,152,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle.md,152,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle.md,159,will be,is,rerun
